date,bloomberg,side,quantity,venue,product_name,product_code
20241120,ESZ4 INDEX,buy,2,cme,ES 20DEC24,ESZ4
20241120,MESZ4 INDEX,buy,6,cme,MES 20DEC24,MESZ4
20241120,MESZ4 INDEX,sell,1,--,MES 20DEC24,MESZ4
